光学特性参数,生成的光纤结构参数
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04434685781598091, -0.015850424766540527, 2.9259443283081055, 5.930251121520996, 7.41206169128418, 1.5670912265777588]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.0435669906437397, -0.016938341781497, 2.9405574798583984, 5.941707611083984, 7.424720287322998, 1.5744656324386597]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04489758983254433, -0.015829654410481453, 2.9303693771362305, 5.934293746948242, 7.392001152038574, 1.5679450035095215]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.045779403299093246, -0.016154978424310684, 2.9211835861206055, 5.938527584075928, 7.402797698974609, 1.5698397159576416]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04663615673780441, -0.016134053468704224, 2.9175519943237305, 5.939367294311523, 7.412957191467285, 1.5722566843032837]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04450036957859993, -0.01595699042081833, 2.9248766899108887, 5.933217525482178, 7.417313575744629, 1.5686639547348022]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04539002478122711, -0.01644522324204445, 2.9273548126220703, 5.939742088317871, 7.419096946716309, 1.572481632232666]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04366118460893631, -0.016133656725287437, 2.9235894680023193, 5.920630931854248, 7.416830539703369, 1.5675008296966553]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04409698024392128, -0.01631108671426773, 2.9280333518981934, 5.933414459228516, 7.419878005981445, 1.5690855979919434]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.044219519942998886, -0.015760719776153564, 2.927095413208008, 5.9304327964782715, 7.411804676055908, 1.5661317110061646]"
