光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04762459546327591, -0.009723527356982231, 3.1158337593078613, 6.079716205596924, 7.629190921783447, 1.5222495794296265]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04664395749568939, -0.009707863442599773, 3.145374059677124, 6.100332736968994, 7.653651237487793, 1.517345666885376]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04711223021149635, -0.0096961734816432, 3.1182570457458496, 6.091663360595703, 7.643828868865967, 1.5266087055206299]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0475621372461319, -0.01048259250819683, 3.103026866912842, 6.07322359085083, 7.621219635009766, 1.5275695323944092]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045870546251535416, -0.012643713504076004, 3.0971617698669434, 6.052208423614502, 7.582186222076416, 1.5294404029846191]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04756287485361099, -0.009976786561310291, 3.1058897972106934, 6.074221134185791, 7.626916408538818, 1.5260136127471924]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046387434005737305, -0.011448430828750134, 3.1070501804351807, 6.05753231048584, 7.592506408691406, 1.526707410812378]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04655914381146431, -0.010055857710540295, 3.129683017730713, 6.096733093261719, 7.6509528160095215, 1.5229134559631348]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046799223870038986, -0.011472702026367188, 3.098548412322998, 6.053774833679199, 7.597546577453613, 1.5261695384979248]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04637804999947548, -0.011362910270690918, 3.100189447402954, 6.062737464904785, 7.612631320953369, 1.5233111381530762]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04648745805025101, -0.009807391092181206, 3.1547720432281494, 6.107156753540039, 7.651996612548828, 1.5176184177398682]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04577242583036423, -0.012194984592497349, 3.092296600341797, 6.053127765655518, 7.602992534637451, 1.5289115905761719]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04676293581724167, -0.010222704149782658, 3.1292078495025635, 6.0805511474609375, 7.6131157875061035, 1.5241423845291138]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045150432735681534, -0.012983473017811775, 3.085789680480957, 6.050644874572754, 7.608916282653809, 1.5260634422302246]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04663614183664322, -0.010772808454930782, 3.10967755317688, 6.066468238830566, 7.607737064361572, 1.5256673097610474]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046857256442308426, -0.010472769849002361, 3.1258544921875, 6.067965507507324, 7.594520568847656, 1.5263599157333374]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04752476140856743, -0.009991936385631561, 3.12626051902771, 6.096530437469482, 7.628495693206787, 1.5285086631774902]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047800350934267044, -0.00916321948170662, 3.129459857940674, 6.092186450958252, 7.632097244262695, 1.521498680114746]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04655591771006584, -0.010815701447427273, 3.114309072494507, 6.072316646575928, 7.611420631408691, 1.526145577430725]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04665301367640495, -0.00999270286411047, 3.1377501487731934, 6.090858459472656, 7.629800319671631, 1.5212322473526]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04495701193809509, -0.013937241397798061, 3.074397325515747, 6.047222137451172, 7.602270126342773, 1.5348979234695435]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04466133192181587, -0.014047746546566486, 3.0881714820861816, 6.036248683929443, 7.567159652709961, 1.5252841711044312]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04667213186621666, -0.009718132205307484, 3.1430301666259766, 6.112781524658203, 7.657814025878906, 1.5230646133422852]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0478297621011734, -0.009814911521971226, 3.126126289367676, 6.075626373291016, 7.608926296234131, 1.5221806764602661]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046332377940416336, -0.011937111616134644, 3.1069111824035645, 6.061361312866211, 7.585546016693115, 1.5274766683578491]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04554548114538193, -0.01304246112704277, 3.0930750370025635, 6.062584400177002, 7.598076820373535, 1.5338419675827026]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04734175652265549, -0.01008636225014925, 3.0992965698242188, 6.064630508422852, 7.628005504608154, 1.522222876548767]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04681014269590378, -0.01033794041723013, 3.1193389892578125, 6.0654120445251465, 7.603034496307373, 1.5241248607635498]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04593890905380249, -0.01129296887665987, 3.1151084899902344, 6.067951202392578, 7.604556560516357, 1.5251017808914185]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04764889180660248, -0.0097455233335495, 3.1171822547912598, 6.100090980529785, 7.649362564086914, 1.5259788036346436]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04683169722557068, -0.011367489583790302, 3.10551118850708, 6.0709943771362305, 7.605772495269775, 1.5290828943252563]"
