光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04384705424308777, -0.015675770118832588, 2.925924777984619, 6.126224040985107, 7.564113140106201, 1.5637768507003784]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04313189908862114, -0.016002383083105087, 2.939439296722412, 6.082363128662109, 7.521439552307129, 1.5631873607635498]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04322795942425728, -0.01531903725117445, 2.9163405895233154, 6.0765700340271, 7.529146194458008, 1.5636391639709473]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04372961074113846, -0.014943927526473999, 2.914590358734131, 6.111522197723389, 7.563690185546875, 1.5637967586517334]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04354311525821686, -0.016025027260184288, 2.910757303237915, 6.096212387084961, 7.535669803619385, 1.5640318393707275]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04371219500899315, -0.014916477724909782, 2.902305841445923, 6.103595733642578, 7.559305191040039, 1.5642080307006836]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04347433149814606, -0.016193045303225517, 2.9441843032836914, 6.023418426513672, 7.473183631896973, 1.559763789176941]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0437881164252758, -0.01530288066715002, 2.9125564098358154, 6.114660263061523, 7.561345100402832, 1.5639642477035522]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04360905662178993, -0.014430536888539791, 2.908846855163574, 6.099730491638184, 7.563130855560303, 1.5641101598739624]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04301397129893303, -0.016324346885085106, 2.961822748184204, 6.0091552734375, 7.457202434539795, 1.5595725774765015]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04267905652523041, -0.016322581097483635, 2.948776960372925, 6.055039882659912, 7.4932403564453125, 1.562876582145691]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04362266883254051, -0.01439069677144289, 2.9224600791931152, 6.108088493347168, 7.568467140197754, 1.5635780096054077]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04359542205929756, -0.014150243252515793, 2.922612190246582, 6.106166362762451, 7.569943904876709, 1.563384771347046]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04371469467878342, -0.015036663971841335, 2.9083428382873535, 6.107106685638428, 7.560347080230713, 1.5642579793930054]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04352675750851631, -0.014888210222125053, 2.916438341140747, 6.0979790687561035, 7.553046226501465, 1.5636438131332397]"
