光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047376397997140884, -0.010890135541558266, 2.9889025688171387, 6.014745712280273, 7.4916486740112305, 1.513359785079956]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04785061627626419, -0.010188031010329723, 2.998443126678467, 6.02892541885376, 7.508269309997559, 1.5174230337142944]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04811453819274902, -0.009913421235978603, 2.990051746368408, 6.026185035705566, 7.509204864501953, 1.5133564472198486]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047678716480731964, -0.009967292658984661, 2.999889850616455, 6.029916763305664, 7.509816646575928, 1.5161176919937134]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04691693186759949, -0.011052137240767479, 2.9803719520568848, 6.003090858459473, 7.478387832641602, 1.5081734657287598]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045507047325372696, -0.011443070136010647, 2.992093086242676, 6.009295463562012, 7.486588478088379, 1.5097016096115112]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04748360440135002, -0.01065756194293499, 2.98581600189209, 6.0175886154174805, 7.490714073181152, 1.5115114450454712]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047916240990161896, -0.010260974988341331, 2.983978509902954, 6.01993465423584, 7.497419357299805, 1.5111380815505981]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04670819267630577, -0.010469306260347366, 3.0053935050964355, 6.031829833984375, 7.501453399658203, 1.5174005031585693]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04829658567905426, -0.009720624424517155, 2.982332944869995, 6.021743297576904, 7.507722854614258, 1.5091938972473145]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04813798889517784, -0.009262804873287678, 2.9861302375793457, 6.025720596313477, 7.51033878326416, 1.5093085765838623]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047069184482097626, -0.010709801688790321, 2.983859062194824, 6.009751796722412, 7.486238956451416, 1.5090382099151611]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04817717522382736, -0.010170899331569672, 2.99355411529541, 6.030783653259277, 7.511028289794922, 1.5161216259002686]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04797469824552536, -0.010434978641569614, 2.991849899291992, 6.032108306884766, 7.501642227172852, 1.515323519706726]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04819082096219063, -0.009562366642057896, 2.995906114578247, 6.030937194824219, 7.517695426940918, 1.5150229930877686]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04726729169487953, -0.010634222067892551, 2.9953513145446777, 6.020822525024414, 7.495024681091309, 1.5152479410171509]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.048476312309503555, -0.009292238391935825, 2.9896631240844727, 6.032736301422119, 7.526491165161133, 1.5122442245483398]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.048248548060655594, -0.009592005051672459, 2.9902915954589844, 6.029305458068848, 7.515096664428711, 1.5129917860031128]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04799136891961098, -0.00960536114871502, 2.9920737743377686, 6.029477119445801, 7.510412216186523, 1.5126299858093262]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0471654012799263, -0.011688671074807644, 2.984107494354248, 6.015157699584961, 7.471678733825684, 1.5146900415420532]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04876477271318436, -0.00924015138298273, 2.995837688446045, 6.042380332946777, 7.540489196777344, 1.5169445276260376]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04778677970170975, -0.010720827616751194, 2.985724925994873, 6.015954494476318, 7.497690200805664, 1.5127134323120117]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04623205587267876, -0.011517145670950413, 2.9880292415618896, 6.007720947265625, 7.471491813659668, 1.511841893196106]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04827618598937988, -0.010363557375967503, 2.9804413318634033, 6.019077301025391, 7.506516456604004, 1.5111136436462402]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04649607464671135, -0.011160599999129772, 2.993337631225586, 6.0155744552612305, 7.482877254486084, 1.513797640800476]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047318022698163986, -0.010529841296374798, 3.000062942504883, 6.03033447265625, 7.501162052154541, 1.5172955989837646]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04655876010656357, -0.011462204158306122, 2.9911916255950928, 6.010429382324219, 7.4806413650512695, 1.5139086246490479]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047413282096385956, -0.010468296706676483, 2.9885635375976562, 6.016345024108887, 7.492728233337402, 1.5122952461242676]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04673098027706146, -0.012052325531840324, 2.9717607498168945, 5.997448921203613, 7.463420867919922, 1.5075147151947021]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04751334711909294, -0.011064819991588593, 2.999450206756592, 6.028597831726074, 7.495393753051758, 1.5196309089660645]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.048562295734882355, -0.009730590507388115, 3.001953363418579, 6.043764591217041, 7.5330400466918945, 1.5206387042999268]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04778033494949341, -0.010116850957274437, 2.9840335845947266, 6.016290187835693, 7.49748420715332, 1.5095858573913574]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04788610339164734, -0.010267476551234722, 2.997774600982666, 6.032012939453125, 7.508095741271973, 1.5176560878753662]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.048288047313690186, -0.009727816097438335, 2.990410089492798, 6.024593830108643, 7.513602256774902, 1.5130891799926758]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047552965581417084, -0.010957930237054825, 2.9915294647216797, 6.020679473876953, 7.494007587432861, 1.5154119729995728]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0462767593562603, -0.010613233782351017, 2.997072696685791, 6.024419784545898, 7.498312473297119, 1.5129567384719849]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.048519592732191086, -0.009144004434347153, 2.9900946617126465, 6.028332233428955, 7.527041435241699, 1.513002872467041]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04828686639666557, -0.010801469907164574, 2.9802191257476807, 6.0182085037231445, 7.496535301208496, 1.5125155448913574]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047235000878572464, -0.011027402244508266, 2.9811856746673584, 6.014338493347168, 7.4869794845581055, 1.509835124015808]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.048852480947971344, -0.008708200417459011, 2.9891695976257324, 6.036827087402344, 7.5385870933532715, 1.5120875835418701]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047945454716682434, -0.010729036293923855, 2.9814229011535645, 6.015686988830566, 7.498183727264404, 1.5112305879592896]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04732748866081238, -0.010618181899189949, 2.9901657104492188, 6.021034240722656, 7.491384983062744, 1.5130951404571533]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.048719730228185654, -0.009492768906056881, 2.988961696624756, 6.032134056091309, 7.528599262237549, 1.5145814418792725]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04662897065281868, -0.010678991675376892, 3.0049736499786377, 6.028066158294678, 7.498248100280762, 1.5176607370376587]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04804863780736923, -0.010737419128417969, 2.981436252593994, 6.017457485198975, 7.499950408935547, 1.5116130113601685]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04592897742986679, -0.011340055614709854, 3.0143585205078125, 6.033969402313232, 7.50007438659668, 1.5224298238754272]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04739587754011154, -0.01079432014375925, 2.991365909576416, 6.021397590637207, 7.493555068969727, 1.5147794485092163]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04794429987668991, -0.009995229542255402, 2.991410732269287, 6.023260593414307, 7.506322860717773, 1.5132384300231934]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04911387711763382, -0.009312668815255165, 2.9785709381103516, 6.026762962341309, 7.530831813812256, 1.5097558498382568]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04610760882496834, -0.011198709718883038, 2.9980368614196777, 6.018052101135254, 7.483297348022461, 1.5146254301071167]"
