光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045860566198825836, -0.010870939120650291, 2.9583044052124023, 5.966582298278809, 7.473971366882324, 1.489858865737915]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.05060547590255737, -0.010181065648794174, 2.9352831840515137, 6.008568286895752, 7.555793762207031, 1.4913557767868042]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04424934461712837, -0.009561525657773018, 2.9686903953552246, 5.951573371887207, 7.470743179321289, 1.4895274639129639]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04573127627372742, -0.011181727051734924, 2.966815948486328, 5.985630035400391, 7.462653160095215, 1.4902440309524536]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046640072017908096, -0.008989053778350353, 2.9602866172790527, 5.964681625366211, 7.489536285400391, 1.4939578771591187]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.049401164054870605, -0.01014757715165615, 2.9556212425231934, 6.003937721252441, 7.522492408752441, 1.4920198917388916]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04506582021713257, -0.00969792902469635, 2.964956760406494, 5.950069427490234, 7.45905876159668, 1.489572525024414]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045713748782873154, -0.011172428727149963, 2.9548115730285645, 5.968338489532471, 7.457752227783203, 1.491058349609375]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04482593387365341, -0.008826619014143944, 2.9673285484313965, 5.945158958435059, 7.466286659240723, 1.4907901287078857]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04464235529303551, -0.009063703007996082, 2.978759765625, 5.975263595581055, 7.492725372314453, 1.4934604167938232]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045637473464012146, -0.008793402463197708, 2.964238166809082, 5.950931072235107, 7.486799240112305, 1.490616798400879]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04277661815285683, -0.010369735769927502, 2.966035842895508, 5.940558433532715, 7.431059837341309, 1.4910600185394287]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04629848524928093, -0.008165217004716396, 2.968099594116211, 5.967362880706787, 7.512386322021484, 1.4946744441986084]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047200750559568405, -0.006830297410488129, 2.9575040340423584, 5.930020332336426, 7.494290351867676, 1.4914195537567139]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044877078384160995, -0.008372112177312374, 2.9696178436279297, 5.945497989654541, 7.478808403015137, 1.49204421043396]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04454270750284195, -0.008965994231402874, 2.9756195545196533, 5.948495864868164, 7.454860687255859, 1.493762493133545]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04534345492720604, -0.008541027083992958, 2.975245714187622, 5.956902027130127, 7.474458694458008, 1.4925562143325806]"
