光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044580984860658646, -0.011395432986319065, 3.1501612663269043, 6.24558162689209, 7.4156174659729, 1.5741480588912964]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.043925799429416656, -0.010903103277087212, 3.1432266235351562, 6.232469081878662, 7.396953105926514, 1.5779393911361694]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04490748792886734, -0.011085609905421734, 3.138549566268921, 6.243756294250488, 7.411083698272705, 1.5701318979263306]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044576406478881836, -0.011194481514394283, 3.1576826572418213, 6.251920700073242, 7.411362171173096, 1.5738998651504517]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045653991401195526, -0.011085600592195988, 3.1434736251831055, 6.224811553955078, 7.4201273918151855, 1.5650379657745361]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04380979388952255, -0.010498148389160633, 3.1362533569335938, 6.229743480682373, 7.3885931968688965, 1.5780376195907593]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04549262300133705, -0.011158322915434837, 3.118992567062378, 6.224103927612305, 7.418052673339844, 1.5651352405548096]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046538252383470535, -0.011218656785786152, 3.100393295288086, 6.192834377288818, 7.430139541625977, 1.5568430423736572]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04704375937581062, -0.010899808257818222, 3.08717942237854, 6.186360836029053, 7.427338600158691, 1.5514260530471802]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045098546892404556, -0.011280023492872715, 3.124795913696289, 6.231936454772949, 7.4168500900268555, 1.5686867237091064]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046513717621564865, -0.011000433936715126, 3.113112688064575, 6.20079231262207, 7.425652980804443, 1.5569570064544678]"
