光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04565058648586273, -0.01220355648547411, 3.066425323486328, 6.04285192489624, 7.630366325378418, 1.5595319271087646]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04645327106118202, -0.011590120382606983, 3.04837703704834, 6.02276611328125, 7.603094100952148, 1.5564513206481934]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0463075190782547, -0.011859402060508728, 3.048717498779297, 6.024987697601318, 7.603262901306152, 1.5558972358703613]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045381613075733185, -0.01274183951318264, 3.0432186126708984, 6.042708396911621, 7.620750427246094, 1.5560543537139893]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04613478109240532, -0.012203702703118324, 3.044610023498535, 6.027562141418457, 7.603554725646973, 1.555438756942749]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046233467757701874, -0.0115514462813735, 3.0418896675109863, 6.025387763977051, 7.599183559417725, 1.553877353668213]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04564407095313072, -0.012878295965492725, 3.0393002033233643, 6.036877155303955, 7.6169610023498535, 1.5565805435180664]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04579804465174675, -0.012185745872557163, 3.0439095497131348, 6.034402847290039, 7.6121697425842285, 1.5557676553726196]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045807890594005585, -0.01206537801772356, 3.038245677947998, 6.033285140991211, 7.610062599182129, 1.5547581911087036]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04603471979498863, -0.01187354326248169, 3.0540812015533447, 6.0329155921936035, 7.617279052734375, 1.5576339960098267]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04620834067463875, -0.01226089894771576, 3.0392606258392334, 6.024168491363525, 7.600588321685791, 1.55558443069458]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045836906880140305, -0.01187878381460905, 3.0555737018585205, 6.0366926193237305, 7.616575717926025, 1.556572437286377]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04634259641170502, -0.011360359378159046, 3.0473413467407227, 6.024923324584961, 7.6036529541015625, 1.5555375814437866]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046882495284080505, -0.010630370117723942, 3.0702598094940186, 6.0186896324157715, 7.593409538269043, 1.5558249950408936]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04547809809446335, -0.0125662200152874, 3.0558481216430664, 6.044008255004883, 7.631214141845703, 1.5588874816894531]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04648249223828316, -0.011802423745393753, 3.0436391830444336, 6.021305084228516, 7.597748756408691, 1.5553972721099854]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04599395766854286, -0.012092719785869122, 3.036736011505127, 6.029038429260254, 7.601687431335449, 1.553892731666565]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04581226408481598, -0.012218328192830086, 3.041999340057373, 6.033943176269531, 7.613549709320068, 1.5560415983200073]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04522322118282318, -0.01254767831414938, 3.0098540782928467, 6.038032054901123, 7.605445861816406, 1.5508328676223755]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04591366648674011, -0.01196745689958334, 3.055345058441162, 6.035769462585449, 7.620004653930664, 1.5578268766403198]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046607714146375656, -0.01090067345649004, 3.0592305660247803, 6.021646499633789, 7.602858543395996, 1.5567021369934082]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045836448669433594, -0.012561798095703125, 3.0262279510498047, 6.0299973487854, 7.604400634765625, 1.5540629625320435]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045380447059869766, -0.01278348546475172, 3.042631149291992, 6.041718006134033, 7.618462085723877, 1.5559338331222534]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04553009942173958, -0.012667068280279636, 3.0514674186706543, 6.041226863861084, 7.624950408935547, 1.5581845045089722]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0452018640935421, -0.012500516138970852, 3.0493650436401367, 6.047491550445557, 7.630422592163086, 1.5572550296783447]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046627189964056015, -0.010704130865633488, 3.047031879425049, 6.018580436706543, 7.59269905090332, 1.5538601875305176]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04528294503688812, -0.01250934787094593, 3.0488953590393066, 6.045947551727295, 7.630752086639404, 1.5575687885284424]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04581020399928093, -0.012104188092052937, 3.044058322906494, 6.035484790802002, 7.617906093597412, 1.55661940574646]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04608326405286789, -0.012021281756460667, 3.045778274536133, 6.030190944671631, 7.610047817230225, 1.555982232093811]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045744460076093674, -0.012232610024511814, 3.0426061153411865, 6.035588264465332, 7.610066890716553, 1.5550882816314697]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04516216740012169, -0.013183293864130974, 3.0364573001861572, 6.045310974121094, 7.626378536224365, 1.5568056106567383]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045889489352703094, -0.011917663738131523, 3.0567188262939453, 6.036129951477051, 7.619990825653076, 1.5576125383377075]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0464804582297802, -0.011374056339263916, 3.041966676712036, 6.0203022956848145, 7.596829891204834, 1.5548193454742432]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04591171070933342, -0.012203299440443516, 3.0536537170410156, 6.033935070037842, 7.614364147186279, 1.5570191144943237]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04571494087576866, -0.012071547098457813, 3.044243335723877, 6.036715984344482, 7.6148247718811035, 1.555436372756958]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04637753963470459, -0.011696305125951767, 3.0292153358459473, 6.012948513031006, 7.57984733581543, 1.5521067380905151]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045335911214351654, -0.012575849890708923, 3.029632806777954, 6.040749549865723, 7.618849277496338, 1.554750680923462]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046149466186761856, -0.012195895425975323, 3.0633115768432617, 6.032286643981934, 7.608819484710693, 1.5575287342071533]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04560944810509682, -0.012218051590025425, 3.0548436641693115, 6.040837287902832, 7.625415802001953, 1.5579955577850342]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04660295322537422, -0.010641640983521938, 3.045531749725342, 6.019113063812256, 7.593625068664551, 1.5533370971679688]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04604316130280495, -0.011796751990914345, 3.038102149963379, 6.0286478996276855, 7.606159687042236, 1.5546177625656128]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04621335491538048, -0.011703146621584892, 3.056368350982666, 6.029229164123535, 7.610350608825684, 1.5569511651992798]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04675295576453209, -0.011423414573073387, 3.0537755489349365, 6.017322540283203, 7.594178676605225, 1.5561480522155762]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046256083995103836, -0.011799093335866928, 3.035287380218506, 6.023637294769287, 7.596537113189697, 1.5535842180252075]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04652488976716995, -0.011501998640596867, 3.052363395690918, 6.021878242492676, 7.599730491638184, 1.5559518337249756]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045640625059604645, -0.012206315994262695, 3.0467753410339355, 6.038811683654785, 7.621772289276123, 1.5570982694625854]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04596623405814171, -0.012293338775634766, 3.0470597743988037, 6.0323615074157715, 7.614923477172852, 1.5572341680526733]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04625512659549713, -0.011479897424578667, 3.05118989944458, 6.026814937591553, 7.608336448669434, 1.5564804077148438]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046513631939888, -0.011376173235476017, 3.043762683868408, 6.0201640129089355, 7.594821453094482, 1.5542802810668945]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045556724071502686, -0.012295613065361977, 3.0482711791992188, 6.040687084197998, 7.624210834503174, 1.5574147701263428]"
