光学特性参数,生成的光纤结构参数
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.042695384472608566, -0.013876269571483135, 3.0418732166290283, 5.988435745239258, 7.60526180267334, 1.5495281219482422]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04404206573963165, -0.019078942015767097, 2.987179756164551, 5.96919584274292, 7.594095230102539, 1.5432188510894775]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04200932756066322, -0.015557230450212955, 3.038048505783081, 5.9823689460754395, 7.60734748840332, 1.5506341457366943]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04218573495745659, -0.014937778003513813, 3.037330150604248, 5.987333297729492, 7.607123374938965, 1.5501377582550049]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.042397189885377884, -0.016128474846482277, 3.022599697113037, 5.978902339935303, 7.601024627685547, 1.5481764078140259]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.042509377002716064, -0.013140329159796238, 3.0401556491851807, 5.9750237464904785, 7.598722457885742, 1.5471975803375244]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.041637785732746124, -0.01307095866650343, 3.0442159175872803, 5.966438293457031, 7.589540481567383, 1.5462415218353271]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04303336143493652, -0.014117706567049026, 3.037123203277588, 5.986015319824219, 7.611126899719238, 1.5504417419433594]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.043603356927633286, -0.016638318076729774, 3.0111851692199707, 5.976849555969238, 7.5976104736328125, 1.5447310209274292]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.040864672511816025, -0.0168992318212986, 3.035430908203125, 5.972509384155273, 7.594907760620117, 1.54807448387146]"
