光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04712247848510742, -0.012205024249851704, 3.006173610687256, 5.987040042877197, 7.523279666900635, 1.5397555828094482]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04669824615120888, -0.01187973190099001, 3.004131317138672, 5.9823198318481445, 7.522063732147217, 1.5392876863479614]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04799184575676918, -0.01257740706205368, 3.014099597930908, 6.0053534507751465, 7.530418395996094, 1.539372205734253]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04739397391676903, -0.012076016515493393, 3.0117671489715576, 5.999962329864502, 7.529383659362793, 1.538516640663147]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046447496861219406, -0.01167270913720131, 3.0031116008758545, 5.979963302612305, 7.521578311920166, 1.5389437675476074]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04792783036828041, -0.012510847300291061, 3.0140135288238525, 6.005154132843018, 7.530510902404785, 1.5392218828201294]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04730401560664177, -0.01198942493647337, 3.0115580558776855, 5.999478816986084, 7.5294036865234375, 1.5383371114730835]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046554334461688995, -0.01133700180798769, 3.0089352130889893, 5.993415832519531, 7.528480529785156, 1.537156105041504]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04769048094749451, -0.012374043464660645, 3.012296438217163, 6.001186370849609, 7.529117107391357, 1.5391662120819092]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04748133569955826, -0.012330489233136177, 3.0098044872283936, 5.995429039001465, 7.526672840118408, 1.53946852684021]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04768376424908638, -0.012736585922539234, 3.007589817047119, 5.990314483642578, 7.523290634155273, 1.5408364534378052]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04638408124446869, -0.011349310167133808, 3.0062994956970215, 5.987326145172119, 7.525736331939697, 1.5376200675964355]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047094278037548065, -0.012153830379247665, 3.006413698196411, 5.9875946044921875, 7.523665904998779, 1.5395896434783936]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0470210500061512, -0.011913937516510487, 3.008397102355957, 5.992175579071045, 7.526358127593994, 1.538670539855957]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04642254859209061, -0.011760306544601917, 3.0016345977783203, 5.976551532745361, 7.5198211669921875, 1.5394030809402466]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04810650274157524, -0.012596864253282547, 3.015521764755249, 6.008639335632324, 7.5318284034729, 1.5391863584518433]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04731603339314461, -0.011934464797377586, 3.0124318599700928, 6.001497268676758, 7.530451774597168, 1.538057565689087]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.047146037220954895, -0.0121031878516078, 3.0078115463256836, 5.990823268890381, 7.525240898132324, 1.5392345190048218]"
