光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044412627816200256, -0.012262824922800064, 3.050102472305298, 6.085760593414307, 7.628376007080078, 1.5104531049728394]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04643263667821884, -0.009372838772833347, 3.072986602783203, 6.088104248046875, 7.6245317459106445, 1.5075783729553223]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045461852103471756, -0.0111403688788414, 3.05816650390625, 6.085319519042969, 7.622179985046387, 1.5072835683822632]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046876296401023865, -0.010181782767176628, 3.0634381771087646, 6.106764793395996, 7.643850326538086, 1.5093985795974731]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046848151832818985, -0.009235149249434471, 3.0689611434936523, 6.095184326171875, 7.634370803833008, 1.509537935256958]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04724264517426491, -0.009844721294939518, 3.0606284141540527, 6.108240127563477, 7.647191047668457, 1.5103942155838013]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04566246271133423, -0.009389723651111126, 3.074659824371338, 6.072739601135254, 7.603954315185547, 1.505618929862976]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04749581590294838, -0.008084707893431187, 3.075169086456299, 6.097114562988281, 7.6405534744262695, 1.5103462934494019]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04669777676463127, -0.010683150961995125, 3.070394515991211, 6.1204938888549805, 7.65915584564209, 1.509521484375]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046763572841882706, -0.009709728881716728, 3.0688772201538086, 6.100897312164307, 7.638559341430664, 1.508955955505371]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04659836366772652, -0.010723923332989216, 3.0652108192443848, 6.121617317199707, 7.665133476257324, 1.5125168561935425]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04649622365832329, -0.009845954366028309, 3.0757241249084473, 6.0991339683532715, 7.632870674133301, 1.5065932273864746]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04715059697628021, -0.009311974979937077, 3.068578004837036, 6.098757266998291, 7.636842727661133, 1.5087475776672363]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044784996658563614, -0.012304464355111122, 3.049097776412964, 6.088222503662109, 7.6275434494018555, 1.5084455013275146]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0457112155854702, -0.011649195104837418, 3.059009552001953, 6.110402584075928, 7.650710105895996, 1.5109909772872925]"
